cm_code;Type;Attribut;Valeur N-1;Valeur N
590300;Modification;cm_long;18.380066656;1017.08
8349545;Modification;cm_long;177.009745834;203.2357467
590469;Modification;cm_long;14.5303675081;1017.08
590432;Modification;cm_long;20.9714025787;252.26
590468;Modification;cm_long;8.3453682315;1017.08
590301;Modification;cm_long;71.6263909261;453.94
8282932;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590316;Modification;cm_long;236.809553825;252.41
558662;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590423;Modification;cm_long;117.665585343;846
562904;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
587259;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
1268514;Modification;cm_long;3.0840507046;7.18
918760;Ajout;;;
4692863;Ajout;;;
914915;Ajout;;;
627576;Ajout;;;
634929;Ajout;;;
917485;Ajout;;;
917153;Ajout;;;
562362;Ajout;;;
7049969;Ajout;;;
8481021;Ajout;;;
917474;Ajout;;;
916220;Ajout;;;
1414448;Ajout;;;
919077;Ajout;;;
586463;Ajout;;;
627577;Ajout;;;
1283560;Ajout;;;
917810;Ajout;;;
586964;Ajout;;;
4692538;Ajout;;;
8464103;Ajout;;;
8407424;Ajout;;;
917155;Ajout;;;
914612;Ajout;;;
917482;Ajout;;;
915878;Ajout;;;
915881;Ajout;;;
8484228;Ajout;;;
4700538;Ajout;;;
916214;Ajout;;;
919073;Ajout;;;
4698622;Ajout;;;
8350452;Ajout;;;
3407093;Ajout;;;
4700536;Ajout;;;
914613;Ajout;;;
917809;Ajout;;;
8275894;Ajout;;;
919078;Ajout;;;
917813;Ajout;;;
4700534;Ajout;;;
624695;Ajout;;;
4695098;Ajout;;;
4692864;Ajout;;;
587076;Ajout;;;
4695419;Ajout;;;
627574;Ajout;;;
917488;Ajout;;;
8407423;Ajout;;;
1283562;Ajout;;;
586434;Ajout;;;
916219;Ajout;;;
681637;Ajout;;;
917156;Ajout;;;
917812;Ajout;;;
680702;Ajout;;;
8407441;Ajout;;;
4695097;Ajout;;;
4700541;Ajout;;;
613809;Ajout;;;
4692540;Ajout;;;
627575;Ajout;;;
629175;Ajout;;;
680695;Ajout;;;
