cb_code;Type;Attribut;Valeur N-1;Valeur N
19581217;Modification;cb_lgreel;40.1067;41.3256
33717858;Modification;cb_lgreel;890.5367;904.2862
15376033;Modification;cb_lgreel;563.0694;564.1139
29236901;Modification;cb_lgreel;323.7716;324.7878
7560882;Modification;cb_lgreel;262.2469;264.8721
33930977;Modification;cb_lgreel;601.7393;608.2303
22929122;Modification;cb_lgreel;297.1005;287.9331
18472676;Modification;cb_lgreel;528.5169;553.507
22929123;Modification;cb_lgreel;954.5908;961.0936
4603653;Modification;cb_lgreel;25.5227;4.8179
4603654;Modification;cb_lgreel;228.7478;100.2562
4603655;Modification;cb_lgreel;156.6408;119.6529
4636422;Modification;cb_lgreel;596.4571;573.8709
4636427;Modification;cb_lgreel;1053.7292;1052.6292
4636423;Modification;cb_lgreel;369.3247;368.1888
4636425;Modification;cb_lgreel;27.3841;26.311
4603664;Modification;cb_lgreel;1077.7022;1079.2042
19349270;Modification;cb_lgreel;2104.3071;2188.7529
23551777;Modification;cb_lgreel;604.763;608.403
4603708;Modification;cb_lgreel;330.1041;588.8698
8142674;Modification;cb_lgreel;482.1802;437.222
5463891;Modification;cb_lgreel;331.8646;330.0132
4636502;Modification;cb_lgreel;298.9889;267.5942
4636503;Modification;cb_lgreel;1951.8917;1920.3531
4636504;Modification;cb_lgreel;310.5485;335.589
4628327;Modification;cb_lgreel;505.6138;494.3672
4603786;Modification;cb_lgreel;630.0326;628.9933
4636558;Modification;cb_lgreel;451.979;447.6539
40394671;Modification;cb_lgreel;2191.9408;2198.9789
16703409;Modification;cb_lgreel;1001.6692;1140.9083
14942130;Modification;cb_lgreel;952.6058;953.693
17194945;Modification;cb_lgreel;733.7688;736.6608
17194946;Modification;cb_lgreel;781.2999;906.4404
4603877;Modification;cb_lgreel;3218.5271;3207.7757
14843889;Modification;cb_lgreel;1186.0926;1259.4977
14843891;Modification;cb_lgreel;1120.1619;1121.5562
14843892;Modification;cb_lgreel;618.002;673.0673
14843890;Modification;cb_lgreel;770.7434;772.3196
45456417;Ajout;;;
45456418;Ajout;;;
44062177;Ajout;;;
44339942;Ajout;;;
44709218;Ajout;;;
44339943;Ajout;;;
44898017;Ajout;;;
44097377;Ajout;;;
44187937;Ajout;;;
44352418;Ajout;;;
44566177;Ajout;;;
44813859;Ajout;;;
44891937;Ajout;;;
45204257;Ajout;;;
45460897;Ajout;;;
45395623;Ajout;;;
45395622;Ajout;;;
45460898;Ajout;;;
44806819;Ajout;;;
44036900;Ajout;;;
45178025;Ajout;;;
45231790;Ajout;;;
45817697;Ajout;;;
44812897;Ajout;;;
45522017;Ajout;;;
44143777;Ajout;;;
43953379;Ajout;;;
44809698;Ajout;;;
44712417;Ajout;;;
44810977;Ajout;;;
45605219;Ajout;;;
45605220;Ajout;;;
45605221;Ajout;;;
45605222;Ajout;;;
45506663;Ajout;;;
45728104;Ajout;;;
45728105;Ajout;;;
44410340;Ajout;;;
45515627;Ajout;;;
44410341;Ajout;;;
45509229;Ajout;;;
44101857;Ajout;;;
45509231;Ajout;;;
45509232;Ajout;;;
45609697;Ajout;;;
44101858;Ajout;;;
44712418;Ajout;;;
44176097;Ajout;;;
4611616;Suppression;;;
23366817;Suppression;;;
42437219;Suppression;;;
43666979;Suppression;;;
42991141;Suppression;;;
40643626;Suppression;;;
4613969;Suppression;;;
4613970;Suppression;;;
4599415;Suppression;;;
42635323;Suppression;;;
42635325;Suppression;;;
